representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00291928.8	 	RAB14	39099	12	36	454410532.932	423554988.355	448072010.242	500686491.772	513315622.256	358416739.473	405726638.962	450706379.395	519230466.46	342558041.298
IPI00102509.4	 	SLC38A5	39099	5	9	165185823.451	185618430.821	174053693.162	226304431.767	196802364.583	122109617.013	122569072.576	141160618.908	165399675.819	110284046.979
IPI00290279.1	 	ADK	39099	15	31	406777609.145	382317666.731	302634871.021	542746864.676	482242340.354	265606546.003	220764887.214	207351661.418	361142538.233	224323734.523
IPI00005202.2	 	PGRMC2	39099	6	14	112747633.041	126606915.899	121349128.988	150725886.643	134059720.757	102123540.009	111240034.47	127141154.549	128141361.671	98452201.39
IPI00215966.3	 	RPP14	39099	2	2	19504055.317	21777237.899	16870299.486	23646991.451	22469217.112	15919540.853	15743734.143	17127449.902	19560002.993	13028800.853
IPI00337315.1	 	RBBP6	39099	3	3	19249734.429	19691300.254	19864823.792	21931482.154	21751735.726	16711068.684	17454253.955	20475899.875	19631196.812	14837823.63
IPI00294501.1	 	DHCR7	39099	7	11	105738196.43	119538872.493	110097457.637	143651079.865	114141160.775	95266997.355	103581500.396	117556078.974	133073775.476	87869868.429
IPI00289499.3	 	ATIC	39099	19	30	517020523.028	352795667.591	304180721.64	717418100.794	663618266.443	169927387.063	109131800.243	113359120.012	175597485.982	158314138.133
IPI00793181.1	 	SELS	39099	4	6	64019825.997	76072440.014	67392861.76	81148892.052	80458800.062	63401530.124	66627247.252	75908940.925	84928798.818	61470024.582
IPI00910584.1	 	B4DIQ5_HUMAN	39099	3	3	32516362.522	33647730.827	35014894.249	47715843.984	34096108.53	28825193.529	27004544.264	30983603.125	37039244.501	24073435.023
IPI00021983.1	 	NCSTN	39099	9	18	176480214.71	201975030.904	230883982.289	254331784.281	232374869.769	221975180.798	224525979.941	258711593.327	225397065.608	189837211.383
IPI00409761.1	 	CHKA	39099	2	3	59127960.406	57036412.82	56344212.819	77047329.352	76955929.733	47223508.137	38899150.294	47692052.44	51520992.677	48008169.99
IPI00465170.1	 	NT5DC3	39099	2	2	7714320.948	8509826.696	7307389.924	9091454.2	8912438.927	2738736.986	2479424.666	3371238.998	2755217.681	2097013.087
